model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/best_ppo_bandit.zip,1,12,3,20.70,10,45,34,0,51.78,7,10.20
models/best_ppo_bandit.zip,1,12,4,20.70,10,67,57,0,58.36,7,10.20
models/best_ppo_bandit.zip,1,13,0,25.20,11,66,55,0,53.03,6,8.40
models/best_ppo_bandit.zip,1,13,1,16.20,9,42,33,0,50.48,8,12.00
models/best_ppo_bandit.zip,1,13,2,20.70,10,65,55,0,54.46,7,10.20
models/best_ppo_bandit.zip,1,13,3,19.20,10,65,55,0,56.31,7,10.80
models/best_ppo_bandit.zip,1,13,4,25.20,11,60,49,0,50.67,6,8.40
models/best_ppo_bandit.zip,1,14,0,7.20,7,59,51,0,52.88,10,15.60
models/best_ppo_bandit.zip,1,14,1,25.20,11,68,57,0,53.68,6,8.40
models/best_ppo_bandit.zip,1,14,2,20.70,10,50,40,0,49.00,7,10.20
models/best_ppo_bandit.zip,1,14,3,25.20,11,66,55,0,54.70,6,8.40
models/best_ppo_bandit.zip,1,14,4,25.20,11,61,49,0,50.66,6,8.40
models/best_ppo_bandit.zip,1,15,0,25.20,11,54,43,0,49.26,6,8.40
models/best_ppo_bandit.zip,1,15,1,20.70,10,64,53,0,54.84,7,10.20
models/best_ppo_bandit.zip,1,15,2,25.20,11,55,44,0,50.55,6,8.40
models/best_ppo_bandit.zip,1,15,3,16.20,9,55,46,0,54.91,8,12.00
models/best_ppo_bandit.zip,1,15,4,20.70,10,54,44,0,52.96,7,10.20
models/best_ppo_bandit.zip,1,16,0,16.20,9,57,48,0,49.47,8,12.00
models/best_ppo_bandit.zip,1,16,1,25.20,11,62,50,0,47.90,6,8.40
models/best_ppo_bandit.zip,1,16,2,16.20,9,50,40,0,48.00,8,12.00
models/best_ppo_bandit.zip,1,16,3,25.20,11,56,45,0,51.79,6,8.40
models/best_ppo_bandit.zip,1,16,4,20.70,10,74,64,0,52.70,7,10.20
models/best_ppo_bandit.zip,1,17,0,11.70,8,49,41,0,54.08,9,13.80
models/best_ppo_bandit.zip,1,17,1,25.20,11,66,55,0,48.64,6,8.40
models/best_ppo_bandit.zip,1,17,2,25.20,11,70,58,0,51.57,6,8.40
models/best_ppo_bandit.zip,1,17,3,25.20,11,60,47,0,50.67,6,8.40
models/best_ppo_bandit.zip,1,17,4,25.20,11,71,60,0,51.69,6,8.40
models/best_ppo_bandit.zip,1,18,0,25.20,11,57,46,0,52.63,6,8.40
models/best_ppo_bandit.zip,1,18,1,25.20,11,53,42,0,50.57,6,8.40
models/best_ppo_bandit.zip,1,18,2,25.20,11,74,63,0,52.30,6,8.40
models/best_ppo_bandit.zip,1,18,3,16.20,9,40,31,0,52.00,8,12.00
models/best_ppo_bandit.zip,1,18,4,25.20,11,71,60,0,54.65,6,8.40
models/best_ppo_bandit.zip,1,19,0,20.70,10,51,40,0,48.24,7,10.20
models/best_ppo_bandit.zip,1,19,1,25.20,11,62,51,0,48.39,6,8.40
models/best_ppo_bandit.zip,1,19,2,25.20,11,58,47,0,50.34,6,8.40
models/best_ppo_bandit.zip,1,19,3,25.20,11,52,41,0,53.08,6,8.40
models/best_ppo_bandit.zip,1,19,4,20.70,10,58,48,0,52.59,7,10.20
